TOP,MID,JUNGLE,ADC, SUPPORT
Singed,Ahri,Renga,Ezreal,Blitzcrank
Pantheon,Malzahar,Lee Sin,Corki,Thresh
Vladimir,Riven,Shen,Caitlyn,Janna
Maokai,Katarina,Warwick,Ezreal,Annie
Renekton,Orianna,Jayce,Tristana,Sona
Mordekaiser,Riven,Udyr,Ashe,Soraka
Vladimir,Vel'Koz,Vi,Jynx,Thresh
Pantheon,Riven,Maokai,Miss Fortune,Blitzcrank
Kha'Zix,Xin Zhao,Udyr,Braum,Tristana
Jax,Talon,Lee Sin,Quinn,Sona
Maokai,Zed,Lee Sin,Quinn,Morgana
Xin Zhao,Ezreal,Vi,Ashe,Morgana
Shen,Elise,Sejuani,Tristana,Annie
Darius,Yasuo,Elise,Tristana,Lulu
Kennen,Kassadin,Pantheon,Draven,Leona
Nasus,Vladimir,Lee Sin,Caitlyn,Fiddlesticks
Zac,Anivia,Renga,Miss Fortune,Thresh
Renekton,Orianna,Rammus,Lucian,Janna
Riven,Zed,Amumu,Graves,Nami
Garen,Teemo,Warwick,Miss Fortune,Morgana
Malphite,Lux,Rammus,Jynx,Blitzcrank
Pantheon,Anivia,Fiddlesticks,Graves,Janna
Jax,Azir,Pantheon,Vayne,Sona
Nunu,Yasuo,Amumu,Jynx,Leona
Irelia,Lulu,Vi,Graves,Thresh
Gnar,Fizz,Elise,Lucian,Blitzcrank
Malphite,Brand,Master Yi,Ashe,Morgana
Tryndamere,Xerath,Jax,Tristana,Leona
Malphite,Orianna,Fiddlesticks,Varus,Soraka
Tryndamere,Katarina,Wukong,Ashe,Thresh
Fiora,Katarina,Warwick,Corki,Annie
Diana,Swain,Wukong,Kog'Maw,Blitzcrank
Shen,Syndra,Lee Sin,Tristana,Thresh
Irelia,LeBlanc,Fiddlesticks,Ashe,Annie
Singed,Ahri,Zac,Graves,Blitzcrank
Heimerdinger,Kayle,Rek'Sai,Quinn,Morgana
Nidalee,Ahri,Xin Zhao,Jynx,Morgana
Riven,LeBlanc,Vi,Draven,Blitzcrank
Nasus,Syndra,Renga,Ashe,Blitzcrank
Garen,Xerath,Tryndamere,Caitlyn,Thresh
Irelia,Heimerdinger,Xin Zhao,Sona,Caitlyn
Master Yi,Azir,Sejuani,Caitlyn,Vel'Koz
Heimerdinger,Cassiopeia,Shyvana,Lucian,Morgana
Malphite,Brand,Master Yi,Vayne,Thresh
Vladimir,Cho'Gath,Wukong,Caitlyn,Braum
Malphite,Kennen,Wukong,Corki,Janna
Vayne,Zed,Maokai,Varus,Karma
Swain,Darius,Master Yi,Lucian,Blitzcrank
Teemo,Fizz,Poppy,Vayne,Thresh
Darius,Mordekaiser,Master Yi,Quinn,Galio
Riven,Katarina,Vi,Ezreal,Leona
Darius,Malzahar,Pantheon,Graves,Taric
Nasus,Karthus,Fiddlesticks,Corki,Janna
Teemo,Zed,Amumu,Graves,Thresh
Malphite,Annie,Nautilus,Draven,Nami
Irelia,Akali,Udyr,Lucian,Blitzcrank
Nasus,Talon,Jax,Tristana,Morgana
Riven,Ziggs,Vi,Corki,Leona
Aatrox,Orianna,Jarvan IV,Jynx,Nami
Rumble,Diana,Fiddlesticks,Ezreal,Blitzcrank
Riven,Cho'Gath,Udyr,Miss Fortune,Lux
Diana,Katarina,Vi,Ezreal,Sona
Nasus,Xerath,Rek'Sai,Graves,Thresh
Nidalee,Katarina,Warwick,Caitlyn,Alistar
Dr. Mundo,Syndra,Fiddlesticks,Lucian,Taric
Jax,Veigar,Nautilus,Caitlyn,Janna
Yasuo,Veigar,Akali,Ezreal,Leona
Teemo,Zed,Pantheon,Vladimir,Twitch
Renekton,Orianna,Amumu,Ezreal,Blitzcrank
Irelia,Fizz,Jax,Graves,Thresh
Malphite,Malzahar,Udyr,Jynx,Leona
Fiora,Lissandra,Rek'Sai,Tristana,Thresh
Irelia,Ahri,Sejuani,Vayne,Karma
Akali,Ziggs,Vi,Ezreal,Janna
Nasus,Veigar,Kha'Zix,Graves,Soraka
Malphite,Heimerdinger,Udyr,Miss Fortune,Blitzcrank
Cho'Gath,Katarina,Trundle,Jynx,Thresh
Cho'Gath,Karthus,Sejuani,Caitlyn,Leona
Wukong,Gragas,Rek'Sai,Miss Fortune,Braum
Lissandra,Orianna,Pantheon,Thresh,Blitzcrank
Nasus,Kassadin,Malphite,Lucian,Janna
Malphite,Zed,Shaco,Twitch,Sona
Rek'Sai,Zed,Wukong,Varus,Morgana
Anivia,Rumble,Nocturne,Draven,Nautilus
Shen,Ezreal,Master Yi,Caitlyn,Thresh
Lissandra,Ziggs,Jayce,Jynx,Sona
Gnar,Heimerdinger,Xin Zhao,Graves,Zilean
Diana,Zed,Amumu,Volibear,Gragas
Darius,Xerath,Shaco,Jynx,Morgana
Gangplank,Annie,Caitlyn,Sivir,Olaf
Jayce,Hecarim,Cho'Gath,Tristana,Nami
Jayce,Diana,Renga,Caitlyn,Leona
Tristana,Talon,Amumu,Katarina,Sona
Jayce,Malzahar,Vi,Ashe,Leona
Garen,Azir,Vi,Twitch,Soraka
Ashe,Vel'Koz,Renga,Graves,Nami
Shyvana,Lux,Lee Sin,Lucian,Nidalee
Tryndamere,Mordekaiser,Cho'Gath,Lucian,Leona
Lissandra,Yasuo,Sion,Caitlyn,Thresh
Lulu,Fiora,Rek'Sai,Kalista,Thresh
Cho'Gath,Fizz,Lee Sin,Graves,Nunu
Shen,Katarina,Wukong,Kalista,Thresh
Kassadin,Annie,Jarvan IV,Quinn,Azir
Riven,Yasuo,Amumu,Lucian,Sona
Kayle,Wukong,Udyr,Thresh,Varus
Fiora,Orianna,Elise,Sivir,Fiddlesticks
Vayne,Yasuo,Rammus,Lucian,Volibear
Garen,Lux,Vi,Caitlyn,Blitzcrank
Nasus,LeBlanc,Lee Sin,Jynx,Sona
Fiora,Zed,Fiddlesticks,Corki,Blitzcrank
Jayce,Annie,Amumu,Caitlyn,Morgana
Jarvan IV,Kassadin,Udyr,Tristana,Leona
Darius,Xerath,Olaf,Twitch,Lux
Nocturne,Ahri,Lee Sin,Vayne,Alistar
Ziggs,Yasuo,Sion,Caitlyn,Thresh
Pantheon,Heimerdinger,Fiddlesticks,Caitlyn,Thresh
Gangplank,Ezreal,Warwick,Kog'Maw,Veigar
Riven,Ziggs,Shaco,Kennen,Taric
Renekton,Malzahar,Vi,Corki,Morgana
Shaco,Zed,Pantheon,Caitlyn,Alistar
Darius,Malzahar,Master Yi,Lucian,Braum
Garen,Zed,Trundle,Vayne,Thresh
Rumble,Lissandra,Volibear,Lucian,Karma
Darius,Fizz,Pantheon,Lucian,Nautilus
Riven,Syndra,Lee Sin,Sivir,Nami
Jax,Viktor,Wukong,Ezreal,Sona
Riven,Zilean,Shyvana,Twitch,Janna
Irelia,Orianna,Master Yi,Tristana,Thresh
Fiora,Fiddlesticks,Tryndamere,Miss Fortune,Thresh
Elise,Katarina,Cho'Gath,Varus,Pantheon
Fiora,Annie,Elise,Caitlyn,Mordekaiser
Kalista,Katarina,Lee Sin,Tristana,Teemo
Wukong,LeBlanc,Kha'Zix,Blitzcrank,Tristana
Jax,Ezreal,Udyr,Graves,Sona
Aatrox,Karthus,Jarvan IV,Lucian,Blitzcrank
Malphite,Annie,Warwick,Caitlyn,Poppy
Vladimir,Syndra,Vi,Tristana,Morgana
Nasus,LeBlanc,Kha'Zix,Graves,Thresh
Jarvan IV,Fizz,Warwick,Corki,Sona
Kennen,Orianna,Amumu,Blitzcrank,Caitlyn
Garen,Katarina,Volibear,Sivir,Janna
Yorick,Annie,Lee Sin,Caitlyn,Sona
Teemo,Ahri,Jarvan IV,Quinn,Lux
Gnar,Karthus,Lee Sin,Graves,Morgana
Cassiopeia,Zed,Shaco,Vayne,Leona
Nasus,Lux,Vayne,Caitlyn,Leona
Fiora,Azir,Fiddlesticks,Graves,Nami
Singed,Twisted Fate,Pantheon,Graves,Leona
Teemo,Katarina,Rammus,Vayne,Thresh
Gangplank,Syndra,Shen,Vayne,Blitzcrank
Renekton,Morgana,Rek'Sai,Caitlyn,Braum
Irelia,Malphite,Jarvan IV,Corki,Blitzcrank
Nasus,Zyra,Kha'Zix,Ashe,Nami
Pantheon,Diana,Udyr,Caitlyn,Leona
Mordekaiser,Katarina,Master Yi,Tristana,Thresh
Volibear,Anivia,Lee Sin,Vayne,Nami
Olaf,Annie,Vi,Draven,Braum
Irelia,Ahri,Jarvan IV,Graves,Blitzcrank
Gnar,Veigar,Vi,Ezreal,Azir
Shen,Orianna,Renga,Corki,Thresh
Riven,Katarina,Renga,Corki,Leona
Gragas,Orianna,Amumu,Caitlyn,Morgana
Lee Sin,LeBlanc,Pantheon,Caitlyn,Sona
Olaf,Ahri,Xin Zhao,Draven,Janna
Teemo,Swain,Evelynn,Caitlyn,Blitzcrank
Garen,Twisted Fate,Amumu,Lucian,Taric
Renekton,Xerath,Vi,Caitlyn,Thresh
Malphite,Fizz,Amumu,Corki,Janna
Irelia,Fizz,Jarvan IV,Ashe,Annie
Jayce,Zed,Kha'Zix,Tristana,Morgana
Shen,Lissandra,Lee Sin,Nami,Jynx
Gnar,Talon,Elise,Ezreal,Karma
Vladimir,Miss Fortune,Pantheon,Vayne,Sona
Zed,LeBlanc,Evelynn,Caitlyn,Leona
Irelia,Jayce,Wukong,Draven,Blitzcrank
Fiora,Zed,Jarvan IV,Vayne,Leona
Darius,LeBlanc,Sejuani,Graves,Thresh
Riven,Orianna,Annie,Ashe,Thresh
Malzahar,Lissandra,Shaco,Twitch,Leona
Rek'Sai,Ziggs,Lucian,Ezreal,Janna
Gnar,LeBlanc,Kha'Zix,Draven,Thresh
Malphite,Xerath,Jax,Varus,Thresh
Shen,Malzahar,Lee Sin,Graves,Zilean
Riven,Akali,Jarvan IV,Tristana,Blitzcrank
Irelia,Lux,Lee Sin,Varus,Karma
Ryze,LeBlanc,Yorick,Jynx,Zyra
Kassadin,Malzahar,Sion,Ashe,Thresh
Riven,Azir,Diana,Tristana,Thresh
Shen,Karma,Jarvan IV,Jynx,Kayle
Sion,Veigar,Pantheon,Ezreal,Morgana
Master Yi,Xerath,Shaco,Kalista,Thresh
Riven,Lissandra,Vi,Caitlyn,Blitzcrank
Riven,Xerath,Sejuani,Ashe,Lulu
Cho'Gath,Karma,Renga,Ezreal,Annie
Rumble,Ziggs,Jax,Twisted Fate,Volibear
Jayce,Heimerdinger,Jarvan IV,Vayne,Morgana
Pantheon,Zed,Nocturne,Ashe,Morgana
Quinn,Jayce,Karthus,Lucian,Leona
Gnar,Katarina,Kayle,Caitlyn,Thresh
Garen,Kassadin,Hecarim,Jynx,Blitzcrank
Vladimir,Varus,Xin Zhao,Morgana,Annie
Heimerdinger,Ahri,Pantheon,Kalista,Thresh
Renekton,Malzahar,Vi,Tristana,Braum
Nasus,Malzahar,Tryndamere,Kalista,Morgana
Volibear,LeBlanc,Jarvan IV,Caitlyn,Thresh
Renekton,Katarina,Fiora,Sivir,Thresh
Garen,Annie,Jarvan IV,Ashe,Morgana
Vladimir,Viktor,Wukong,Jynx,Braum
Nasus,Malzahar,Master Yi,Sivir,Thresh
Aatrox,Fizz,Warwick,Tristana,Volibear
Cho'Gath,Akali,Renga,Jynx,Thresh
Ryze,LeBlanc,Fiddlesticks,Tristana,Zilean
Shen,Malzahar,Elise,Ezreal,Janna
Trundle,Wukong,Amumu,Corki,Sona
Renekton,Orianna,Rek'Sai,Graves,Annie
Gangplank,Akali,Rammus,Twitch,Janna
Alistar,Zed,Jarvan IV,Jynx,Vel'Koz
Rumble,Katarina,Fiora,Lucian,LeBlanc
Yasuo,Annie,Vi,Corki,Morgana
Cho'Gath,Katarina,Lee Sin,Ezreal,Thresh
Kayle,Veigar,Warwick,Volibear,Vayne
Teemo,Ahri,Riven,Quinn,Thresh
Nasus,Cassiopeia,Warwick,Graves,Nami
Malphite,Yasuo,Kha'Zix,Twitch,Alistar
Gangplank,Lissandra,Udyr,Caitlyn,Thresh
Jayce,Zed,Vi,Graves,Sona
Gnar,Vladimir,Lee Sin,Kalista,Janna
Rumble,Zed,Vi,Tristana,Nami
Poppy,Brand,Renga,Kalista,Leona
Akali,LeBlanc,Sejuani,Lux,Jynx
Shyvana,LeBlanc,Vi,Tristana,Morgana
Fiora,Ahri,Master Yi,Corki,Braum
Swain,Brand,Vi,Corki,Braum
Wukong,Zed,Maokai,Ashe,Zyra
Irelia,LeBlanc,Jarvan IV,Caitlyn,Blitzcrank
Tryndamere,Kassadin,Sion,Graves,Thresh
Aatrox,Zed,Amumu,Lucian,Lux
Master Yi,Fizz,Jarvan IV,Graves,Karma
Gangplank,Yasuo,Jarvan IV,Kalista,Morgana
Ryze,Ahri,Amumu,Caitlyn,Thresh
Garen,Orianna,Renga,Jynx,Morgana
Quinn,Brand,Jarvan IV,Lucian,Nami
Nidalee,Lissandra,Warwick,Kalista,Blitzcrank
Irelia,Vladimir,Nocturne,Draven,Morgana
Jax,Brand,Skarner,Corki,Thresh
Cho'Gath,Ahri,Lee Sin,Vayne,Braum
Riven,Swain,Rek'Sai,Graves,Blitzcrank
Gnar,Twisted Fate,Fiddlesticks,Graves,Thresh
Malphite,Yasuo,Nocturne,Corki,Blitzcrank
Nasus,Malzahar,Warwick,Jynx,Lux
Riven,Morgana,Shaco,Graves,Annie
Irelia,Twisted Fate,Gragas,Kalista,Thresh
Lissandra,Yasuo,Volibear,Caitlyn,Malphite
Nasus,Syndra,Udyr,Kog'Maw,Leona
Trundle,LeBlanc,Lee Sin,Ashe,Malphite
Tryndamere,Heimerdinger,Rek'Sai,Ezreal,Blitzcrank
Dr. Mundo,Morgana,Master Yi,Jynx,Thresh
Gnar,Zed,Rek'Sai,Caitlyn,Fiddlesticks
Irelia,Ahri,Shyvana,Jynx,Morgana
Nasus,Ahri,Master Yi,Vayne,Vel'Koz
Warwick,Annie,Rek'Sai,Quinn,Taric
Yasuo,Xerath,Warwick,Caitlyn,Thresh
Gnar,Ryze,Kha'Zix,Draven,Annie
Lissandra,Heimerdinger,Xin Zhao,Vayne,Karma
Dr. Mundo,Morgana,Fiddlesticks,Corki,Braum
Malphite,Diana,Yasuo,Caitlyn,Lux
Renga,Zed,Jarvan IV,Graves,Thresh
Azir,Lissandra,Lee Sin,Graves,Soraka
Rek'Sai,Ezreal,Renga,Kog'Maw,Blitzcrank
Master Yi,Fizz,Sejuani,Graves,Thresh
Malphite,Yasuo,Fiddlesticks,Lucian,Braum
Malphite,Swain,Kha'Zix,Caitlyn,Morgana
Yorick,Katarina,Jarvan IV,Teemo,Volibear
Irelia,Tristana,Elise,Caitlyn,Leona
Riven,Karthus,Warwick,Morgana,Ezreal
Darius,Swain,Jarvan IV,Jynx,Sona
Xin Zhao,Zed,Lee Sin,Corki,Thresh
Singed,Ryze,Master Yi,Tristana,Karthus
Rumble,Zed,Elise,Ezreal,Morgana
Riven,Fizz,Hecarim,Miss Fortune,Malphite
Fiora,Lux,Gnar,Kog'Maw,Thresh
Gnar,Annie,Maokai,Graves,Sona
Lee Sin,Twisted Fate,Warwick,Xerath,Ashe
Nasus,Syndra,Warwick,Varus,LeBlanc
Fiora,Veigar,Master Yi,Caitlyn,Nautilus
Swain,Morgana,Vi,Jynx,Sona
Darius,Fizz,Udyr,Caitlyn,Thresh
Lissandra,Yasuo,Wukong,Graves,Thresh
Tryndamere,Annie,Wukong,Varus,Sona
Jayce,Annie,Rek'Sai,Vayne,Blitzcrank
Riven,Katarina,Master Yi,Tristana,Lux
Vladimir,Akali,Renga,Ashe,Janna
Rek'Sai,Malzahar,Master Yi,Miss Fortune,Blitzcrank
Rek'Sai,Cassiopeia,Jarvan IV,Karma,Jynx
Renekton,Zed,Nidalee,Varus,Sona
Tryndamere,Veigar,Rek'Sai,Volibear,Ezreal
Riven,Katarina,Vi,Lucian,Alistar
Poppy,Sivir,Sejuani,Annie,Sona
Fiora,Ahri,Jarvan IV,Sivir,Janna
Darius,Syndra,Karthus,Caitlyn,Leona
Shyvana,LeBlanc,Kha'Zix,Graves,Zyra
Lissandra,Talon,Fiora,Tristana,Morgana
Kennen,Orianna,Udyr,Vayne,Zyra
Gnar,Zed,Lee Sin,Graves,Thresh
Fiora,Viktor,Warwick,Miss Fortune,Leona
Pantheon,Annie,Xin Zhao,Graves,Blitzcrank
Wukong,Cassiopeia,Udyr,Graves,Braum
Yorick,Jayce,Evelynn,Twitch,Shen
Jarvan IV,Ezreal,Lee Sin,Miss Fortune,Thresh
Hecarim,Annie,Vi,Jynx,Soraka
Riven,Katarina,Jarvan IV,Lucian,Braum
Riven,LeBlanc,Master Yi,Graves,Taric
Malzahar,Akali,Jax,Vayne,Leona
Kassadin,Zed,Sejuani,Jynx,Morgana
Irelia,Malzahar,Rek'Sai,Tristana,Leona
Alistar,Talon,Lee Sin,Caitlyn,Morgana
Fiora,Ahri,Shaco,Vayne,Braum
Azir,Diana,Nautilus,Graves,Vel'Koz
Shen,Ryze,Master Yi,Graves,Alistar
Sion,Lux,Lee Sin,Graves,Orianna
Gangplank,Syndra,Vi,Teemo,Twitch
Jayce,Annie,Sejuani,Graves,Karma
Rek'Sai,Akali,Vi,Draven,Annie
Aatrox,Fizz,Lee Sin,Kalista,Thresh
Gangplank,Morgana,Nocturne,Ashe,Janna
Malphite,Morgana,Pantheon,Ezreal,Thresh
Gangplank,Annie,Rammus,Corki,Thresh
Cho'Gath,Yasuo,Renga,Tristana,Taric
Garen,Cassiopeia,Udyr,Graves,Janna
Olaf,Nidalee,Trundle,Lucian,Nami
Azir,Zed,Hecarim,Caitlyn,Soraka
Irelia,Ahri,Kha'Zix,Graves,Sona
Sion,Azir,Renga,Graves,Morgana
Pantheon,Talon,Master Yi,Ezreal,Lux
Darius,Ahri,Kalista,Draven,Soraka
Lee Sin,Katarina,Vi,Tristana,Janna
Jayce,Swain,Warwick,Vayne,Blitzcrank
Pantheon,Ziggs,Master Yi,Tristana,Alistar
Gnar,Brand,Sion,Jynx,Lux
Ryze,Kassadin,Elise,Miss Fortune,Malphite
Trundle,Zed,Pantheon,Graves,Ahri
Cho'Gath,Anivia,Nunu,Corki,Lulu
Yorick,LeBlanc,Malphite,Caitlyn,Morgana
Gnar,Cassiopeia,Master Yi,Draven,Soraka
Orianna,Azir,Udyr,Graves,Teemo
Xin Zhao,Fiddlesticks,Kayle,Kog'Maw,Blitzcrank
Wukong,Fizz,Shaco,Twitch,Annie
Vel'Koz,Ahri,Lee Sin,Kalista,Thresh
Fiora,Veigar,Rek'Sai,Ezreal,Braum
Tryndamere,Akali,Jarvan IV,Tristana,Dr. Mundo
Riven,Viktor,Warwick,Sivir,Leona
Gangplank,Swain,Lee Sin,Jynx,Janna
Riven,Orianna,Amumu,Graves,Nami
Wukong,Ziggs,Udyr,Graves,Sona
Gnar,Malzahar,Elise,Caitlyn,Blitzcrank
Jayce,Katarina,Vi,Caitlyn,Sona
Karma,Fiora,Cho'Gath,Tristana,Malphite
Jarvan IV,Kayle,Master Yi,Caitlyn,Blitzcrank
Riven,Syndra,Lee Sin,Kalista,Thresh
Kayle,LeBlanc,Udyr,Twitch,Morgana
Garen,Vladimir,Xin Zhao,Lucian,Braum
Nasus,Syndra,Jax,Kog'Maw,Thresh
Gnar,Talon,Pantheon,Lucian,Morgana
Irelia,Orianna,Jax,Jynx,Leona
Malphite,Cassiopeia,Kha'Zix,Graves,Morgana
Dr. Mundo,Vel'Koz,Twitch,Ezreal,Morgana
Shyvana,Karthus,Master Yi,Vayne,Blitzcrank
Irelia,Yasuo,Warwick,Jynx,Morgana
Garen,Orianna,Volibear,Ezreal,Vel'Koz
Wukong,Lux,Nautilus,Corki,Morgana
Singed,Katarina,Nunu,Jynx,Annie
Aatrox,Orianna,Shaco,Quinn,Fiddlesticks
Trundle,Kennen,Renga,Corki,Morgana
Renekton,Veigar,Sion,Annie,Twitch
Talon,Annie,Rek'Sai,Kalista,Janna
Lissandra,Katarina,Jarvan IV,Caitlyn,Lux
Vladimir,Annie,Warwick,Tristana,Taric
Aatrox,Nidalee,Shyvana,Caitlyn,Garen
Darius,Heimerdinger,Warwick,Tristana,Morgana
Ryze,Zed,Jarvan IV,Ezreal,Sona
Renekton,Lux,Shaco,Graves,Thresh
Riven,Mordekaiser,Master Yi,Lucian,Braum
Tryndamere,Cassiopeia,Diana,Vayne,Morgana
Gnar,Graves,Lee Sin,Vayne,Thresh
Rumble,Viktor,Pantheon,Caitlyn,Alistar
Pantheon,Nidalee,Lee Sin,Ashe,Taric
Riven,Fiora,Diana,Draven,Malphite
Galio,Hecarim,Rek'Sai,Tristana,Leona
Morgana,Orianna,Sion,Lucian,Blitzcrank
Tryndamere,Talon,Wukong,Sivir,Leona
Garen,Morgana,Master Yi,Lulu,Ezreal
Cho'Gath,Heimerdinger,Shaco,Tristana,Soraka
Dr. Mundo,Malzahar,Tryndamere,Graves,Leona
Garen,Heimerdinger,Lee Sin,Twitch,Braum
Warwick,Katarina,Vi,Varus,Leona
Volibear,Lux,Lee Sin,Ezreal,Morgana
Tryndamere,Teemo,Amumu,Ezreal,Thresh
Riven,Ryze,Jarvan IV,Caitlyn,Braum
Gnar,Heimerdinger,Teemo,Lucian,Blitzcrank
Poppy,Anivia,Udyr,Vayne,Yorick
Vladimir,Heimerdinger,Jax,Sivir,Leona
Nasus,Ryze,Master Yi,Caitlyn,Braum
Vladimir,Orianna,Xin Zhao,Sivir,Thresh
Fiora,Viktor,Nunu,Ezreal,Leona
Swain,Cassiopeia,Master Yi,Lucian,Alistar
Nasus,Yasuo,Jarvan IV,Tristana,Leona
Pantheon,LeBlanc,Lee Sin,Jynx,Heimerdinger
Jayce,Swain,Lee Sin,Ashe,Pantheon
Yasuo,Azir,Rek'Sai,Graves,Soraka
Wukong,Nidalee,Renga,Jynx,Pantheon
Vladimir,Lux,Kha'Zix,Caitlyn,Thresh
Garen,Swain,Malphite,Miss Fortune,Amumu
Jax,Mordekaiser,Master Yi,Tristana,Thresh
Vladimir,Syndra,Master Yi,Quinn,Leona
Lulu,Nautilus,Jarvan IV,Sona,Jynx
Teemo,Fiddlesticks,Master Yi,Ashe,Zilean
Jax,Annie,Vi,Sivir,Blitzcrank
Singed,LeBlanc,Kha'Zix,Graves,Blitzcrank
Jayce,Zed,Jarvan IV,Draven,Thresh
Nasus,LeBlanc,Lee Sin,Jynx,Sona
Pantheon,Lissandra,Udyr,Varus,Braum
Rek'Sai,Zed,Lee Sin,Jayce,Leona
Tryndamere,Nidalee,Udyr,Ashe,Blitzcrank
Renekton,Cassiopeia,Kha'Zix,Lucian,Galio
Lissandra,Ziggs,Lee Sin,Draven,Thresh
Kayle,Wukong,Fiddlesticks,Twitch,Alistar
Riven,Cassiopeia,Hecarim,Caitlyn,Annie
Jayce,Lux,Volibear,Tristana,Thresh
Garen,Brand,Sejuani,Caitlyn,Leona
Fiora,Syndra,Elise,Ashe,Brand
Pantheon,Ziggs,Kha'Zix,Vayne,Leona
Cho'Gath,Karthus,Vi,Jynx,Nami
Pantheon,Zed,Skarner,Vayne,Thresh
Pantheon,Ahri,Jarvan IV,Twitch,Nami
Nidalee,Fizz,Lee Sin,Soraka,Lucian
Jax,Orianna,Jarvan IV,Vayne,Thresh
Aatrox,Zed,Kha'Zix,Caitlyn,Zyra
Kennen,Anivia,Pantheon,Vayne,Janna
Vladimir,Zed,Vi,Twitch,Morgana
Quinn,Azir,Evelynn,Miss Fortune,Leona
Teemo,Mordekaiser,Xin Zhao,Vayne,Kayle
Wukong,Azir,Shaco,Tristana,Janna
Rek'Sai,Heimerdinger,Xin Zhao,Jynx,Leona
Riven,Katarina,Lee Sin,Jynx,Janna
Alistar,Annie,Jarvan IV,Graves,Thresh
Elise,Zed,Xin Zhao,Caitlyn,Annie
Garen,Lissandra,Fiddlesticks,Ezreal,Lulu
Nasus,Vel'Koz,Rek'Sai,Jynx,Blitzcrank
Garen,Talon,Vi,Nunu,Vayne
Teemo,Lux,Master Yi,Lucian,Leona
Darius,Annie,Tryndamere,Tristana,Blitzcrank
Rumble,Ryze,Udyr,Ashe,Annie
Nasus,LeBlanc,Master Yi,Zilean,Tristana
Riven,LeBlanc,Udyr,Tristana,Brand
Kayle,Yasuo,Vi,Graves,Zyra
Tryndamere,Lissandra,Vi,Jynx,Alistar
Ryze,Cassiopeia,Vi,Kalista,Sona
Tryndamere,Orianna,Nidalee,Caitlyn,Thresh
Jayce,Syndra,Jarvan IV,Graves,Blitzcrank
Jarvan IV,Heimerdinger,Vi,Jynx,Ryze
Jax,Yasuo,Warwick,Vayne,Lulu
Irelia,Zed,Shaco,Caitlyn,Blitzcrank
Nasus,Syndra,Amumu,Ezreal,Morgana
Irelia,Azir,Fiora,Vayne,Thresh
Fiora,Morgana,Fiddlesticks,Draven,Annie
Singed,Tristana,Nautilus,Ezreal,Leona
Nasus,Nidalee,Trundle,Ashe,Blitzcrank
Riven,Vel'Koz,Elise,Miss Fortune,Thresh
Lux,Ryze,Jarvan IV,Vayne,Janna
Malzahar,Zed,Sejuani,Twitch,Sona
Nasus,Akali,Zac,Annie,Vayne
Riven,Cassiopeia,Tryndamere,Corki,Leona
LeBlanc,Brand,Pantheon,Lucian,Janna
Shyvana,Malzahar,Lee Sin,Alistar,Graves
Darius,Swain,Master Yi,Ezreal,Soraka
Alistar,Akali,Elise,Kalista,Thresh
Darius,Lux,Vi,Ezreal,Nami
Singed,Katarina,Olaf,Graves,Thresh
Gnar,Katarina,Poppy,Tristana,Morgana
Garen,Ahri,Vi,Jynx,Nunu
Lissandra,Yasuo,Lee Sin,Ezreal,Sona
Yorick,Jayce,Wukong,Miss Fortune,Nami
Riven,Brand,Xin Zhao,Quinn,Orianna
Rek'Sai,Kayle,Vi,Draven,Lux
Gangplank,Malzahar,Shaco,Graves,Blitzcrank
Jayce,Ahri,Warwick,Jynx,Karma
Renekton,Shaco,LeBlanc,Corki,Leona
